City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Lazaro Cardenas,MX,17.9583,-102.2,84.16,54,0,11.77,clear sky
114,Bangar,PH,16.8936,120.4243,76.32,75,23,3.29,few clouds
115,Cape Town,ZA,-33.9258,18.4232,64.99,88,0,9.22,clear sky
116,Victoria,HK,22.2855,114.1577,73.0,81,87,17.83,overcast clouds
117,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,clear sky
118,Richards Bay,ZA,-28.783,32.0377,69.28,93,71,5.95,light rain
119,Mount Gambier,AU,-37.8333,140.7667,48.2,100,12,3.44,fog
120,Gamba,GA,-2.65,10.0,77.65,90,97,4.29,overcast clouds
121,Talnakh,RU,69.4865,88.3972,25.7,97,100,2.8,light snow
122,Nouakchott,MR,18.0858,-15.9785,75.2,60,0,19.57,clear sky
123,Tual,ID,-5.6667,132.75,83.71,71,98,5.26,overcast clouds
124,Morondava,MG,-20.2833,44.2833,75.15,78,0,8.05,clear sky
125,Salalah,OM,17.0151,54.0924,80.6,74,0,2.3,clear sky
126,Belyy Yar,RU,53.6039,91.3903,35.6,75,0,4.47,clear sky
127,Ribeira Grande,PT,38.5167,-28.7,62.6,77,20,4.61,few clouds
128,Komsomolskiy,UZ,40.4272,71.7189,51.8,58,92,6.91,overcast clouds
129,Mogadishu,SO,2.0371,45.3438,82.31,72,10,14.74,clear sky
130,Mocuba,MZ,-16.8392,36.9856,65.71,90,0,2.91,clear sky
131,Guerrero Negro,MX,27.9769,-114.0611,71.46,49,98,18.84,overcast clouds
132,Sambava,MG,-14.2667,50.1667,78.21,85,100,4.54,light rain
133,Banda Aceh,ID,5.5577,95.3222,79.14,80,82,8.05,broken clouds
134,Itoman,JP,26.1247,127.6694,66.2,63,20,20.71,few clouds
135,Mutare,ZW,-18.9707,32.6709,57.97,95,8,5.82,clear sky
136,Celestun,MX,20.8667,-90.4,82.47,55,100,15.66,overcast clouds
137,Rocha,UY,-34.4833,-54.3333,69.85,82,34,9.86,scattered clouds
138,Masuguru,TZ,-11.3667,38.4167,70.11,96,49,3.02,scattered clouds
139,Tasiilaq,GL,65.6145,-37.6368,23.0,80,20,16.11,few clouds
140,Atambua,ID,-9.1061,124.8925,72.7,85,92,1.66,overcast clouds
141,Saldanha,ZA,-33.0117,17.9442,64.4,52,4,4.61,clear sky
142,Badiraguato,MX,25.3667,-107.5167,89.01,30,40,11.5,scattered clouds
143,Pisco,PE,-13.7,-76.2167,82.4,51,0,13.8,clear sky
144,Kahului,US,20.8947,-156.47,75.2,69,40,20.71,scattered clouds
145,Jiaozuo,CN,35.2397,113.2331,55.49,51,100,1.59,overcast clouds
146,West Wendover,US,40.7391,-114.0733,53.6,22,1,10.36,clear sky
147,Irbil,IQ,36.1926,44.0106,60.76,47,0,5.41,clear sky
148,Tari,NG,12.4086,4.4914,87.75,12,1,2.59,clear sky
149,Ucluelet,CA,48.9329,-125.5528,48.0,93,90,8.05,overcast clouds
150,Klaksvik,FO,62.2266,-6.589,26.6,86,75,20.71,light rain
151,Noumea,NC,-22.2763,166.4572,79.0,83,90,2.3,overcast clouds
152,La Roche-Sur-Yon,FR,46.6667,-1.4333,35.6,64,0,4.61,clear sky
153,Caruray,PH,10.3094,119.0128,77.68,86,100,7.34,overcast clouds
154,Alpine,US,32.835,-116.7664,73.0,49,1,5.75,clear sky
155,Tahta,EG,26.7693,31.5021,75.2,15,0,8.05,clear sky
156,Bolshaya Martynovka,RU,47.271,41.6679,43.07,74,25,8.08,scattered clouds
157,Labuhan,ID,-6.8844,112.2051,77.99,87,98,7.14,moderate rain
158,Canning,IN,22.3189,88.6714,78.8,89,0,5.75,haze
159,Moerai,PF,-22.4333,-151.3333,77.29,73,94,9.86,light rain
160,Bereznik,RU,62.8551,42.7072,38.55,89,100,12.19,overcast clouds
161,Texarkana,US,33.4251,-94.0477,77.0,53,90,14.97,overcast clouds
162,Ghanzi,BW,-21.5667,21.7833,75.29,43,93,11.21,overcast clouds
163,Prieska,ZA,-29.6641,22.7474,74.71,24,3,5.35,clear sky
164,Tomatlan,MX,19.9333,-105.25,88.23,33,0,10.87,clear sky
165,Pinotepa Nacional,MX,16.3167,-98.0167,88.7,33,99,9.62,overcast clouds
166,Carutapera,BR,-1.195,-46.02,79.14,79,73,8.34,broken clouds
167,Tateyama,JP,34.9833,139.8667,50.0,81,62,11.48,broken clouds
168,Gornopravdinsk,RU,60.05,69.9,30.81,95,100,10.49,light snow
169,Barra,BR,-11.0894,-43.1417,84.7,43,41,4.61,scattered clouds
170,Katsuura,JP,35.1333,140.3,50.0,71,40,8.05,scattered clouds
171,Talara,PE,-4.5772,-81.2719,82.4,61,0,6.91,clear sky
172,Wynyard,AU,-41.0,145.7167,48.99,99,86,4.0,overcast clouds
173,Playas,EC,-2.6333,-80.3833,78.08,76,50,10.98,scattered clouds
174,Luganville,VU,-15.5333,167.1667,81.01,78,76,9.84,broken clouds
175,Bardiyah,LY,31.7561,25.0865,60.19,84,55,14.61,broken clouds
176,Gat,IL,31.61,34.7642,72.0,39,75,2.71,broken clouds
177,Riyadh,SA,24.6877,46.7219,77.0,12,0,4.61,clear sky
178,Shimoda,JP,34.6667,138.95,50.0,80,74,6.58,broken clouds
179,Biak,ID,-0.9131,122.8766,76.71,79,14,2.01,few clouds
180,Saskylakh,RU,71.9167,114.0833,7.74,95,100,7.34,light snow
181,Nome,US,64.5011,-165.4064,10.4,56,1,8.05,clear sky
182,Onguday,RU,50.75,86.15,36.41,84,77,2.13,broken clouds
183,Bairnsdale,AU,-37.8333,147.6167,60.01,96,88,3.76,overcast clouds
184,Shatalovo,RU,54.334,32.4465,33.91,92,100,5.01,light snow
185,Caravelas,BR,-17.7125,-39.2481,75.7,69,2,5.3,clear sky
186,Abu Kamal,SY,34.4506,40.9171,71.58,26,0,12.75,clear sky
187,Totness,SR,5.8833,-56.3167,79.43,81,74,12.03,broken clouds
188,Filingue,NE,14.3521,3.3168,90.84,5,100,6.35,overcast clouds
189,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.0,73,75,2.3,broken clouds
190,Beyneu,KZ,45.3167,55.2,48.22,51,9,8.32,clear sky
191,Rio Casca,BR,-20.2261,-42.6508,72.72,74,22,3.65,few clouds
192,Jistebnice,CZ,49.4855,14.5276,30.99,90,100,9.57,light snow
193,Jermuk,AM,39.8417,45.6723,35.38,73,46,0.81,scattered clouds
194,Sola,VU,-13.8833,167.55,81.46,75,100,15.23,overcast clouds
195,Takoradi,GH,4.8845,-1.7554,80.92,84,9,9.22,clear sky
196,Hasaki,JP,35.7333,140.8333,43.0,87,20,4.61,few clouds
197,Clyde River,CA,70.4692,-68.5914,12.2,73,40,19.57,snow
198,Naze,JP,28.3667,129.4833,61.75,56,2,20.56,clear sky
199,Aquin,HT,18.2833,-73.4,81.12,69,91,1.43,overcast clouds
200,Minab,IR,27.1467,57.0801,71.6,73,0,6.91,clear sky
201,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,40,5.75,scattered clouds
202,Husavik,IS,66.0449,-17.3389,17.6,62,0,6.91,clear sky
